Number of Dyck words is 16796
Processing Dyck words, elapsed time = 40ms 
Dyck words use ~ 697.099609 KB
Using 190 / 192 threads
Number of palindromic Dyck words is 252
Number of non-palindromic Dyck words is 8272
Thread 129 is finished, elapsed time = 9423μs 
Thread 126 is finished, elapsed time = 13ms 
Thread 145 is finished, elapsed time = 8886μs 
Thread 144 is finished, elapsed time = 8574μs 
Thread 140 is finished, elapsed time = 11ms 
Thread 146 is finished, elapsed time = 9361μs 
Thread 121 is finished, elapsed time = 15ms 
Thread 132 is finished, elapsed time = 16ms 
Thread 133 is finished, elapsed time = 15ms 
Thread 131 is finished, elapsed time = 16ms 
Thread 135 is finished, elapsed time = 15ms 
Thread 147 is finished, elapsed time = 5955μs 
Thread 128 is finished, elapsed time = 18ms 
Thread 130 is finished, elapsed time = 18ms 
Thread 148 is finished, elapsed time = 5050μs 
Thread 150 is finished, elapsed time = 4996μs 
Thread 149 is finished, elapsed time = 5228μs 
Thread 152 is finished, elapsed time = 5153μs 
Thread 151 is finished, elapsed time = 5552μs 
Thread 155 is finished, elapsed time = 5116μs 
Thread 153 is finished, elapsed time = 5521μs 
Thread 154 is finished, elapsed time = 5378μs 
Thread 164 is finished, elapsed time = 3915μs 
Thread 180 is finished, elapsed time = 2447μs 
Thread 156 is finished, elapsed time = 5474μs 
Thread 167 is finished, elapsed time = 3809μs 
Thread 157 is finished, elapsed time = 5372μs 
Thread 158 is finished, elapsed time = 5291μs 
Thread 168 is finished, elapsed time = 3856μs 
Thread 159 is finished, elapsed time = 5462μs 
Thread 160 is finished, elapsed time = 5418μs 
Thread 165 is finished, elapsed time = 4699μs 
Thread 163 is finished, elapsed time = 5356μs 
Thread 161 is finished, elapsed time = 6019μs 
Thread 186 is finished, elapsed time = 2536μs 
Thread 187 is finished, elapsed time = 95μs 
Thread 188 is finished, elapsed time = 2938ns 
Thread 189 is finished, elapsed time = 785ns 
Thread 169 is finished, elapsed time = 3040μs 
Thread 162 is finished, elapsed time = 7066μs 
Thread 182 is finished, elapsed time = 3217μs 
Thread 172 is finished, elapsed time = 3957μs 
Thread 170 is finished, elapsed time = 3990μs 
Thread 166 is finished, elapsed time = 3221μs 
Thread 171 is finished, elapsed time = 3854μs 
Thread 183 is finished, elapsed time = 2093μs 
Thread 184 is finished, elapsed time = 2621μs 
Thread 178 is finished, elapsed time = 8638μs 
Thread 179 is finished, elapsed time = 8925μs 
Thread 173 is finished, elapsed time = 9302μs 
Thread 174 is finished, elapsed time = 9431μs 
Thread 175 is finished, elapsed time = 9238μs 
Thread 181 is finished, elapsed time = 9951μs 
Thread 177 is finished, elapsed time = 11ms 
Thread 185 is finished, elapsed time = 6997μs 
Thread 176 is finished, elapsed time = 12ms 
From comparison of non-palindromic and non-palindromic: 942987740
Thread 0 has load 16544
Thread 1 has load 16544
Thread 2 has load 16544
Thread 3 has load 16544
Thread 4 has load 16544
Thread 5 has load 16544
Thread 6 has load 16544
Thread 7 has load 16544
Thread 8 has load 16544
Thread 9 has load 16544
Thread 10 has load 16544
Thread 11 has load 16544
Thread 12 has load 16544
Thread 13 has load 16544
Thread 14 has load 16544
Thread 15 has load 16544
Thread 16 has load 16544
Thread 17 has load 16544
Thread 18 has load 16544
Thread 19 has load 16544
Thread 20 has load 16544
Thread 21 has load 16544
Thread 22 has load 16544
Thread 23 has load 16544
Thread 24 has load 16544
Thread 25 has load 16544
Thread 26 has load 16544
Thread 27 has load 16544
Thread 28 has load 16544
Thread 29 has load 16544
Thread 30 has load 16544
Thread 31 has load 16544
Thread 32 has load 16544
Thread 33 has load 16544
Thread 34 has load 16544
Thread 35 has load 16544
Thread 36 has load 16544
Thread 37 has load 16544
Thread 38 has load 16544
Thread 39 has load 16544
Thread 40 has load 16544
Thread 41 has load 16544
Thread 42 has load 16544
Thread 43 has load 16544
Thread 44 has load 16544
Thread 45 has load 16544
Thread 46 has load 16544
Thread 47 has load 16544
Thread 48 has load 16544
Thread 49 has load 16544
Thread 50 has load 16544
Thread 51 has load 16544
Thread 52 has load 16544
Thread 53 has load 16544
Thread 54 has load 16544
Thread 55 has load 16544
Thread 56 has load 16544
Thread 57 has load 16544
Thread 58 has load 16544
Thread 59 has load 16544
Thread 60 has load 16544
Thread 61 has load 16544
Thread 62 has load 16544
Thread 63 has load 16544
Thread 64 has load 16544
Thread 65 has load 16544
Thread 66 has load 16544
